Wave1,Corrections,RU,DE,ES,FR,AR,zh-CHS,TR,PT,Philiphino Tagalog,Hindi,Polish
_saydwt,Are you finished with these words?,Вы закончили с этими словами?,Sind Sie mit diesen Wörtern fertig?,¿Has terminado con estas palabras?,Vous en avez fini avec ces mots?,هل انتهيت من هذه الكلمات ؟,你说完了吗？,Bu sözlerle işin bitti mi?,Já acabaste com estas palavras?,,,
_larr,"""arr"" (the letters)","""аранжировка"" (буквы)","""arr"" (die Buchstaben)","""Arr"" (las letras)","""arr"" (les lettres)","""ار"" (الرسائل)","""发射"" (信件)","""ARR"" (harfler)","""Arr"" (as letras)",,,
_saavty,"As a vowel team, you know that letters ""“ie”"" make long vowel sounds.","Как гласная команда, вы знаете, что буквы """" IE """" делают длинные гласные звуки.","Als Vokal-Team wissen Sie, dass Buchstaben """" IE """" lange Vokal-Töne bilden.","Como equipo vocal, usted sabe que las letras """" IE ""hacen sonidos largos de la vocal.""","En tant qu'équipe de voyelles, vous savez que les lettres """" IE """" font de longs sons de voyelles.","كفريق حرف ، تعرف ان الحروف ""اي"" تجعل الأصوات الطويلة أحرف العلة.","作为一个元音团队, 你知道字母 ""ie"" 发出长元音。","Ünlü bir takım olarak, bu harfler """" demek ""Yani"" uzun sesli ses yapmak.","Como uma equipe vogal, você sabe que as letras """" IE """" fazem sons de vogais longos.",,,
_saensw,"As each new sight word is introduced, the computer will record it in your electronic sight word notebook.","После того как будет введено каждое новое слово, компьютер зарегистрирует его в блокноте электронного слова.","Da jedes neue Sight Word eingeführt wird, wird der Computer es in Ihrem elektronischen Sight Word-Notizbuch aufzeichnen.","A medida que se introduce cada nueva palabra de vista, el ordenador lo grabará en su cuaderno electrónico de palabras de vista.","Comme chaque nouveau mot de vue est introduit, l'ordinateur l'enregistrera dans votre cahier de mot de vue électronique.",كما يتم عرض كل كلمه جديده البصر ، والكمبيوتر سوف يسجل في المفكرة الكترونيه الخاصة بك البصر الكلمة.,"当每个新的视觉词被介绍, 计算机将记录它在您的电子视觉词笔记本。","Her yeni görüş kelime tanıtıldığı gibi, bilgisayar elektronik Sight Word Notebook kaydeder.","Como cada nova visão da palavra é introduzida, o computador irá gravá-lo em seu notebook visão eletrônica palavra.",,,
_saitw,as in the word...,как и в слове...,wie im Wort ...,como en la palabra ...,comme dans le mot ...,كما هو الأمر في الكلمة...,就像这个词..。,kelime gibi...,como na palavra...,,,
_sayhpo,"As you have practiced, “ow” also makes the sound of long “o”.","Как вы практиковали, ""Ай"" также делает звук длинного ""o"".","Wie Sie geübt haben, macht ""ow"" auch den Klang langer ""o"".","Como usted ha practicado, ""ow"" también hace el sonido de ""o"" largo.","Comme vous l'avez pratiqué, ""OW"" fait aussi le son de long ""o"".","كما كنت قد مارست ، ""أؤو"" يجعل أيضا صوت طويل ""o"".","正如你所练习的, ""哦"" 也发出长 ""o"" 的声音。","Sen, ""ow"" de uzun ""o"" ses yapar uygulandığı gibi.","Como você praticou, ""ow"" também faz o som de ""o"" longo.",,,
_sasyou,"As you may have guessed by now, all the syllable types seem to have An exception or two.","Как вы могли догадаться, все слоговые типы, похоже, имеют исключение или два.","Wie Sie vielleicht schon erraten haben, scheinen alle Silben-Typen ""eine"" Ausnahme oder zwei zu haben.","Como usted puede haber adivinado por ahora, todos los tipos de sílabas parecen tener ""una"" excepción o dos.","Comme vous avez pu le deviner maintenant, tous les types de syllabes semblent avoir ""une"" exception ou deux.",كما كنت قد خمنت الآن ، وجميع أنواع مقطع يبدو ان لديها استثناء أو اثنين.,"正如你现在可能已经猜到, 所有的音节类型似乎有一个或两个例外。","Şimdiye kadar tahmin etmiş olabilirsin, tüm hece tipleri bir istisna ya da iki var gibi görünüyor.","Como você já deve ter adivinhado até agora, todos os tipos de sílaba parecem ter uma exceção ou duas.",,,
_saloli,At least one letter in that word is silent.,По крайней мере одна буква в этом слове хранит молчание.,Mindestens ein Buchstabe in diesem Wort schweigt.,Al menos una letra en esa palabra es silenciosa.,Au moins une lettre dans ce mot est silencieuse.,رسالة واحده علي الأقل في تلك الكلمة صامته.,这个词中至少有一封信是无声的。,Bu kelimede en az bir mektup sessiz.,Pelo menos uma letra nessa palavra é silenciosa.,,,
_lau,"""au"" (the letters)","""АС"" (буквы)","""au"" (die Buchstaben)","""au"" (las letras)","""au"" (les lettres)","""الاتحاد الافريقي"" (الرسائل)","""au"" (信件)","""Au"" (harfler)","""au"" (as letras)",,,
_sau,"""au"" (the sounds)","""Au"" (звуки)","""au"" (die Klänge)","""au"" (los sonidos)","""au"" (les sons)","""الاتحاد الافريقي"" (الأصوات)","""au"" (声音)","""Au"" (sesler)","""au"" (os sons)",,,
_laugh,augh (the letters),аугх (буквы),AUGH (die Buchstaben),augh (las letras),Augh (les lettres),(الحروف),augh (信件),augh (harfler),Augh (as letras),,,
_saugh,"""augh1"" (the sounds)","""аугх1"" (звуки)","""augh1"" (die Klänge)","""augh1"" (los sonidos)","""augh1"" (les sons)","""augh1"" (الأصوات)","""augh1"" (音)","""augh1"" (sesler)","""augh1"" (os sons)",,,
_saugh2,"""augh2"" (as in LAUGH)","""аугх2"" (как и смех)","""augh2"" (wie im lachen)","""augh2"" (como en risa)","""augh2"" (comme dans rire)","""augh2"" (كما في الضحك)","""augh2"" (笑)","""augh2"" (gülmek gibi)","""augh2"" (como no riso)",,,
_law,"""aw"" (the letters)","""ОУ"" (буквы)","""AW"" (die Buchstaben)","""AW"" (las letras)","""aw"" (les lettres)","""aw"" (الرسائل)","""aw"" (字母)","""AW"" (harfler)","""aw"" (as letras)",,,
_saw,"""aw"" (the sounds)","""ОУ"" (звуки)","""AW"" (die Klänge)","""AW"" (los sonidos)","""aw"" (les sons)","""aw"" (الأصوات)","""aw"" (声音)","""AW"" (sesler)","""aw"" (os sons)",,,
_lay,"""ay"" (the letters)","""Ай"" (буквы)","""ay"" (die Buchstaben)","""Ay"" (las letras)","""ay"" (les lettres)","""ay"" (الرسائل)","""哎"" (信)","""ay"" (harfler)","""ay"" (as letras)",,,
_say,"""ay"" (the sounds)","""Ай"" (звуки)","""ay"" (die Klänge)","""Ay"" (los sonidos)","""ay"" (les sons)","""ay"" (الأصوات)","""哎"" (声音)","""ay"" (sesler)","""ay"" (os sons)",,,
_sasmt8,bass (pause) bass,бас-гитара,Bass (Pause),bajo (pausa) bajo,basse (pause) Bass,باس (وقفه) باس,低音 (暂停) 低音,bas (Duraklat) Bass,baixo (pausa) baixo,,,
_sbstst1,be sure to say the sound of each letter and blend them together.,"""Будьте"", не забудьте сказать, что звук каждого письма и смешать их вместе.","""seien Sie sicher, den Klang jedes Buchstabens zu sagen und vermischen Sie sie zusammen.""","""estar"" seguro de decir el sonido de cada letra y mezclarlos juntos.","""Soyez"" sûr de dire le son de chaque lettre et les mélanger ensemble.","""كن"" من المؤكد ان يقول صوت كل حرف ومزجها معا.","""是"" 一定要说出每封信的声音并将它们混合在一起。","""her harfin sesini söylemek ve onları birarada karıştırmak"" emin olun.","""seja"" certo dizer o som de cada letra e misturá-los juntos.",,,
_sbtfsc,"Because the first syllable, “cli”, is open, the letter ""“i”"" makes the long ""“i”sound"".","Поскольку первый слог, ""CLI"", открыт, буква """" i """" делает длинный """" я ""звук"".","Da die erste Silbe, ""CLI"", offen ist, ist der Buchstabe ""i"" ""der lange"" ""i"" Klang.","Porque la primera sílaba, ""CLI"", está abierta, la letra ""i"" ""hace el"" largo """" yo ""sonido"".","Parce que la première syllabe, ""CLI"", est ouverte, la lettre """" je """" fait le long """" je ""Sound"".","لان المقطع الأول ، ""cli"" ، مفتوح ، والحرف ""انا"" يجعل من الطويل ""انا"" الصوت "".","因为第一个音节, ""cli"", 是开放的, 字母 ""i"" """", 使长的 ""我"" 的声音。","Çünkü ilk hece, ""CLI"", açık, """" ""ı"" harfi ""ı"" ""ses"" yapar.","Porque a primeira sílaba, ""CLI"", está aberta, a letra ""i"" faz a longa ""i"" Sound.",,,
_sblend,Blend the sounds in each syllable.,Наложение звуков в каждом слоге.,Mischen Sie die Töne in jeder Silbe.,Mezcle los sonidos en cada sílaba.,Mélanger les sons dans chaque syllabe.,مزج الأصوات في كل مقطع لفظي.,混合每一个音节的声音。,Sesleri her heceye karıştırın.,Misture os sons em cada sílaba.,,,
_sbiimo,but it is most often at the end.,но чаще всего это в конце.,aber es ist am häufigsten am Ende.,pero es más a menudo al final.,mais c'est le plus souvent à la fin.,ولكنه في معظم الأحيان في نهاية المطاف.,但这是最常见的结束。,Ama en sık sonunda.,Mas é mais frequentemente no final.,,,
_sbtacta,But they are crunched together and the sounds are hard to separate.,"Но они проводят вместе, и звуки трудно разделять.",Aber Sie werden zusammen crunched und die Töne sind schwer zu trennen.,Pero son crujidos juntos y los sonidos son difíciles de separar.,Mais ils sont croqués ensemble et les sons sont difficiles à séparer.,ولكن يتم طحنها معا والأصوات من الصعب فصل.,"但它们在一起嘎吱作响, 声音很难分开。",Ama onlar birlikte Crunched ve sesler ayırmak zordur.,Mas eles são triturados juntos e os sons são difíceis de separar.,,,
_sbwicw,"But, when it ""combibines"" with a vowel to form a single sound, it is called a ""semi-vowel"".","Но, когда она ""комбибинес"" с гласной, чтобы сформировать единый звук, она называется ""полупрозрачной"".","Aber wenn es ""combibines"" mit einem Vokal zu einem einzigen Klang zu bilden, wird es als ""Semi-Vokal"".","Pero, cuando ""combibines"" con una vocal para formar un solo sonido, se llama ""semi vocal"".","Mais, quand il ""combibines"" avec une voyelle pour former un seul son, il est appelé une ""voyelle"".","ولكن ، عندما ""الكومبينات"" مع حرف العلة لتشكيل صوت واحد ، ويطلق عليه اسم ""شبه الحرف"".","但是, 当它 ""combibines"" 与一个元音形成一个单一的声音, 它被称为 ""semi-vowel""。","Ama, tek bir ses oluşturmak için bir sesli harflerle ""combibines"", bir ""yarı-sesli"" denir.","Mas, quando ""combibines"" com uma vogal para formar um único som, é chamado de ""semi-vogal"".",,,
_sc,"""c"" (hard- the sound)","""c"" (жестко-звук)","""c"" (Hard-der Klang)","""c"" (Hard-The Sound)","""c"" (Hard-le son)","""جيم"" (هارد--الصوت)","""c"" (--声音)","""c"" (sert-ses)","""c"" (Hard-o som)",,,
_scs,"""c"" (soft - the sound)","""c"" (мягкий звук)","""c"" (weich-der Klang)","""c"" (suave-el sonido)","""c"" (soft-le son)","""جيم"" (لينه--الصوت)","""c"" (soft-the 声音)","""c"" (yumuşak-ses)","""c"" (Soft-o som)",,,
_lch,"""ch"" (the letters)","""CH"" (буквы)","""ch"" (die Buchstaben)","""CH"" (las letras)","""ch"" (les lettres)","""ch"" (الحروف)","""ch"" (字母)","""CH"" (harfler)","""ch"" (as letras)",,,
_sch,"""ch"" (the sounds)","""CH"" (звуки)","""ch"" (die Klänge)","""CH"" (los sonidos)","""ch"" (les sons)","""ch"" (الأصوات)","""ch"" (声音)","""CH"" (sesler)","""ch"" (os sons)",,,
_schoos,"Choose a word from Column ""B"" to tack onto a word in Column A to form new compound word.","Выберите слово из столбца ""B"", чтобы присвоить слово в столбце a для создания нового составного слова.","Wählen Sie ein Wort aus Spalte ""B"" zu Tack auf ein Wort in Spalte a, um neue zusammengesetzte Wort zu bilden.","Elija una palabra de la columna ""B"" para virar sobre una palabra en la columna a para formar una nueva palabra compuesta.","Choisissez un mot de la colonne ""B"" pour épingler un mot dans la colonne a pour former un nouveau mot composé.","اختر كلمه من العمود ""B"" إلى المسمار في كلمه في العمود a لتكوين كلمه مركبه جديده.","从列 ""B"" 中选择一个单词, 将其粘到 a 列中的一个单词以形成新的复合词。","Yeni bileşik sözcük oluşturmak için a sütunundaki bir kelime üzerine tack ""B"" sütunundan bir sözcük seçin.","Escolha uma palavra da coluna ""B"" para tachar para uma palavra na coluna a para formar nova palavra composta.",,,
